data,Position,section,icorsOfferType,subDivisionType,subDivision,Banner,priority,Title,Description1,Description2,Description3,Total clicks,Suggested Banner Type,tags
herobanner,0,herobanner,HP_AppCard_Investment_Segment2_FD,,HP_AppCard_Investment_Segment2_FD,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HP_AppCard_Investment_Segment1_FD_App.png,1,One of the highest returns on FD,Trusted by 5 Lakh+ Depositors,Up to 8.40% p.a.,Flexible payout,7950,Fixed Deposit,"{'TagNameDominant colors': 'Yellow, Orange', 'Brightness': 'Bright', 'Warm vs cool tones': 'Warm', 'Contrast level': 'Medium to High (between foreground elements and background)', 'Text-to-image ratio': 'Low (mostly image, very little text)', 'Left vs right alignment': 'Right (main subject, the person, is on the right)', 'Symmetry': 'Asymmetrical', 'Whitespace usage': 'High (significant empty space in the upper and left parts)', 'Image focus type': 'Person using a smartphone, festive background elements', 'Visual format': 'Promotional/Banner Background', 'Illustration vs photo': 'Mix (background is illustrative, person and objects are photographic)', 'Number of products shown': '1 (smartphone)', 'Number of people shown': '1', 'Design density': 'Low to Medium', 'Embedded text present': 'Yes', 'Text language': 'English', 'Font style': 'Sans-serif', 'Festival/special occasion': 'Yes, implied Diwali/Indian festival (diya, firecrackers, marigolds, traditional patterns)', 'Festival name': 'Diwali (implied by elements)', 'Logo': 'No', 'Logo size': 'N/A', 'Logo placement': 'N/A', 'Call-to-action button present': 'No', 'CTA placement': 'N/A', 'CTA contrast': 'N/A', 'Objects visible': ['Smartphone', 'Diya (oil lamp)', 'Firecrackers (rockets)', 'Marigold flowers (genda phool)', 'Traditional patterned background'], 'Brand logo visible': 'No', 'Brand logo size': 'N/A', 'Emotion (if faces shown)': 'Neutral/Concentrated (looking at phone)', 'Gender shown (if people shown)': 'Male', 'Ethnicity': 'Indian', 'Age group': 'Elderly/Senior', 'Employment type (if shown)': 'Not discernible', 'Environment type': 'Studio/Thematic background', 'Location hints': ""India (implied by festival elements, clothing, and person's appearance)"", 'Offer text present': 'No', 'Offer type': 'N/A', 'Offer text size': 'N/A', 'Offer text position': 'N/A'}"
herobanner,1,herobanner,bhfl,displayName,Home Loan - Balance transfer,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplay_PreApproved_BHFLHomeLoanBT_App.png,2,Transfer your home loan to us and,get top-up of up to ₹1.1Cr,ROI from 8.50%* p.a.,Top-up of ₹1 crore*,3667,Home Loan,"{
  ""Dominant colors"": [""#E9F4FF"", ""#B0D4F5"", ""#2C6D98"", ""#8A5C3D"", ""#B3211D"", ""#FFFFFF""],
  ""Brightness"": ""Bright"",
  ""Warm vs cool tones"": ""Mix (Cool background/snow, warm house lights/wood, warm festive decorations)"",
  ""Contrast level"": ""Medium"",
  ""Text-to-image ratio"": ""Very Low (minimal text)"",
  ""Left vs right alignment"": ""Right-aligned (main subject house is on the right)"",
  ""Symmetry"": ""Asymmetrical"",
  ""Whitespace usage"": ""High (significant empty space in the background and left side)"",
  ""Image focus type"": ""Subject (Modern House) and Festive Decorations"",
  ""Visual format"": ""Banner / Background image"",
  ""Illustration vs photo"": ""Illustration"",
  ""Number of products shown"": 1,
  ""Number of people shown"": 0,
  ""Design density"": ""Low to Medium"",
  ""Embedded text present"": true,
  ""Text language"": ""English"",
  ""Font style"": ""Sans-serif, small, light"",
  ""Festival/special occasion"": ""Christmas"",
  ""Festival name"": ""Christmas / Holiday Season"",
  ""Logo"": ""Not visible"",
  ""Logo size"": ""N/A"",
  ""Logo placement"": ""N/A"",
  ""Call-to-action button present"": false,
  ""CTA placement"": ""N/A"",
  ""CTA contrast"": ""N/A"",
  ""Objects visible"": [
    ""Modern House"",
    ""Snow"",
    ""Christmas Garland (top left)"",
    ""Red Berries (top left)"",
    ""Golden Stars (top left)"",
    ""Christmas Garland / Fir Branches (bottom)"",
    ""Red Baubles (bottom)"",
    ""Candy Canes (bottom)"",
    ""Pinecones (bottom)"",
    ""Small tree (next to house)""
  ],
  ""Brand logo visible"": false,
  ""Brand logo size"": ""N/A"",
  ""Emotion (if faces shown)"": ""N/A"",
  ""Gender shown (if people shown)"": ""N/A"",
  ""Employment type (if shown)"": ""N/A"",
  ""Environment type"": ""Outdoor, Snowy Landscape"",
  ""Location hints"": ""Winter setting, possibly a residential or vacation area (mountain home style)"",
  ""Offer text present"": false,
  ""Offer type"": ""N/A"",
  ""Offer text size"": ""N/A"",
  ""Offer text position"": ""N/A""
}"
herobanner,2,herobanner,HP_AppCard_Loan_Segment1_LSF,,HP_AppCard_Loan_Segment1_LSF,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/New_HP_AppCard_Loan_Segment1_LSF_App.png,4,Upgrade your Home Furnishing ,EMIs starting ₹992*,Zero Downpayment,Easy EMI options,319203,Personal Loan,"{'TagNameDominant colors': {'property': 'Dominant colors', 'value': ['Blue', 'White', 'Green', 'Red', 'Yellow', 'Teal']}, 'Brightness': {'property': 'Brightness level', 'value': 'Bright'}, 'Warm vs cool tones': {'property': 'Tone temperature', 'value': 'Mix of warm and cool tones, with a cool dominant background'}, 'Contrast level': {'property': 'Visual contrast', 'value': 'Moderate to High'}, 'Text-to-image ratio': {'property': 'Ratio of text to image content', 'value': 'Very Low'}, 'Left vs right alignment': {'property': 'Primary alignment of elements', 'value': 'Right and Bottom Aligned'}, 'Symmetry': {'property': 'Symmetry in composition', 'value': 'Asymmetrical'}, 'Whitespace usage': {'property': 'Amount of empty space', 'value': 'High'}, 'Image focus type': {'property': 'Main subject of the image', 'value': 'Product Display (Furniture) in a Festive Setting'}, 'Visual format': {'property': 'Overall style or purpose', 'value': 'Promotional / Advertisement Banner'}, 'Illustration vs photo': {'property': 'Image creation method', 'value': 'Digital Illustration / Composite (Rendered objects on illustrated background)'}, 'Number of products shown': {'property': 'Count of distinct products', 'value': 5}, 'Number of people shown': {'property': 'Count of people', 'value': 0}, 'Design density': {'property': 'Visual busyness of the design', 'value': 'Low to Moderate'}, 'Embedded text present': {'property': 'Presence of text within the image', 'value': 'Yes'}, 'Text language': {'property': 'Language of embedded text', 'value': 'English'}, 'Font style': {'property': 'Styling of embedded text', 'value': 'Sans-serif, Small, Italicized'}, 'Festival/special occasion': {'property': 'Association with a specific event', 'value': 'Yes'}, 'Festival name': {'property': 'Name of the associated festival', 'value': 'Christmas / Winter Holiday'}, 'Logo size': {'property': 'Size of brand logo (if present)', 'value': 'N/A (No brand logo visible)'}, 'Logo placement': {'property': 'Position of brand logo (if present)', 'value': 'N/A (No brand logo visible)'}, 'Call-to-action button present': {'property': 'Presence of an interactive CTA button', 'value': 'No'}, 'CTA placement': {'property': 'Position of CTA button (if present)', 'value': 'N/A'}, 'CTA contrast': {'property': 'Contrast of CTA button (if present)', 'value': 'N/A'}, 'Objects visible': {'property': 'List of visible objects', 'value': ['Sofa', 'Armchair', 'Side Tables', 'Cabinet', 'Christmas Garland/Foliage', 'Red Berries', 'Red Ornaments', 'Pinecones', 'Candy Canes', 'Small Golden Stars', 'Snow', 'Blue Sky Background']}, 'Brand logo visible': {'property': 'Visibility of a brand logo', 'value': 'No'}, 'Brand logo size': {'property': 'Size of brand logo (if visible)', 'value': 'N/A'}, 'Emotion (if faces shown)': {'property': 'Emotion conveyed by faces (if present)', 'value': 'N/A (No faces shown)'}, 'Gender shown (if people shown)': {'property': 'Gender of people (if present)', 'value': 'N/A (No people shown)'}, 'Employment type (if shown)': {'property': 'Employment context of people (if shown)', 'value': 'N/A (No people shown in work context)'}, 'Environment type': {'property': 'Type of setting shown', 'value': 'Conceptual Indoor/Outdoor Blend (Furniture on a wintry background)'}, 'Location hints': {'property': 'Clues about the physical location', 'value': 'Winter/Holiday themed promotional setting'}, 'Offer text present': {'property': 'Presence of text indicating an offer', 'value': ""No (Only a disclaimer '*T&C Apply*')""}, 'Offer type': {'property': 'Type of offer (if present)', 'value': 'N/A'}, 'Offer text size': {'property': 'Size of offer text (if present)', 'value': 'Small'}, 'Offer text position': {'property': 'Position of offer text (if present)', 'value': 'Bottom right corner'}}"
herobanner,3,herobanner,investment,offerProduct,BROKING,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplay_PreApproved_DematTrading_App.png,6,FREE* Demat account with Bajaj Broking,"Stocks, IPOs, and more",Margin Trade Facility,Research-backed stock tips,261315,Research-backed stock tips,"{'TagNameDominant_colors': ['light yellow/cream', 'black', 'red', 'orange', 'green'], 'Brightness': 'bright', 'Warm_vs_cool_tones': 'mixed (warm background, warm red/orange bars, cool green bars)', 'Contrast_level': 'high', 'Text-to-image_ratio': 'very low', 'Left_vs_right_alignment': 'elements are right-aligned, significant left whitespace', 'Symmetry': 'asymmetrical', 'Whitespace_usage': 'significant', 'Image_focus_type': 'symbolic (bear and bull figures, bar chart)', 'Visual_format': 'illustration', 'Illustration_vs_photo': 'illustration', 'Number_of_products_shown': 0, 'Number_of_people_shown': 0, 'Design_density': 'low', 'Embedded_text_present': 'yes', 'Text_language': 'English', 'Font_style': 'sans-serif', 'Festival/special_occasion_logo': 'no', 'Festival_name': 'N/A', 'Logo_size': 'N/A', 'Logo_placement': 'N/A', 'Call-to-action_button_present': 'no', 'CTA_placement': 'N/A', 'CTA_contrast': 'N/A', 'Objects_visible': ['bear silhouette', 'bull silhouette', 'bar chart', 'rising bars'], 'Brand_logo_visible': 'no', 'Brand_logo_size': 'N/A', 'Emotion': 'N/A (no faces shown)', 'Gender_shown': 'N/A (no people shown)', 'Ethnicity_shown': 'N/A (no people shown)', 'Employment_type': 'N/A (no people shown)', 'Environment_type': 'abstract/symbolic (financial market concept)', 'Location_hints': 'N/A (abstract)', 'Offer_text_present': 'no', 'Offer_type': 'N/A', 'Offer_text_size': 'N/A', 'Offer_text_position': 'N/A', 'Meaning': ""Symbolic representation of 'bull' and 'bear' markets in finance, with the rising bars indicating a bullish or growing trend."", 'Image_type': 'conceptual/financial'}"
herobanner,4,herobanner,investment,offerProduct,BROKING,https://ip-dynbanners.bajajfinserv.in/SuperApp/newhome/Banner/375x214/DefaultBanners/IPO/HyundaiMotorIndiaIPOHomepage_PA_App.png,6,Hyundai Motor India IPO size - 27856 Cr,Lot size 7,Bidding dates- 15th -17th Oct,"Min.investment- 13,055.00",261315,Investment Services,"{'image_analysis': {'TagNameDominant_colors': ['light peach', 'gold', 'green', 'blue', 'white', 'grey'], 'Brightness': 'bright', 'Warm_vs_cool_tones': 'predominantly warm', 'Contrast_level': 'medium', 'Text_to_image_ratio': 'very low', 'Left_vs_right_alignment': 'main graphic right-aligned, ample whitespace left-aligned', 'Symmetry': 'asymmetrical', 'Whitespace_usage': 'high', 'Image_focus_type': 'conceptual (financial growth)', 'Visual_format': 'horizontal', 'Illustration_vs_photo': 'illustration', 'Number_of_products_shown': 0, 'Number_of_people_shown': 0, 'Design_density': 'low to medium', 'Embedded_text_present': 'yes', 'Text_content': '*T&C Apply.', 'Text_language': 'English', 'Font_style': 'sans-serif', 'Festival_special_occasion_logo': 'yes', 'Festival_name_implied': 'Diwali (or similar Indian festival)', 'Logo_size': 'N/A (no brand logo)', 'Logo_placement': 'N/A (no brand logo)', 'Call_to_action_button_present': 'no', 'CTA_placement': 'N/A', 'CTA_contrast': 'N/A', 'Objects_visible': ['bar chart', 'pie chart', 'stacked coins', 'upward arrow', 'oil lamps (diyas)', 'mandala patterns', 'decorative borders'], 'Brand_logo_visible': 'no', 'Brand_logo_size': 'N/A', 'Emotion_if_faces_shown': 'N/A', 'Gender_shown_if_people_shown': 'N/A', 'Employment_type_if_shown': 'N/A', 'Environment_type': 'abstract/digital', 'Location_hints': 'Indian cultural context', 'Offer_text_present': 'no', 'Offer_type': 'N/A', 'Offer_text_size': 'N/A', 'Offer_text_position': 'bottom right', 'Theme_Concept': ['growth', 'prosperity', 'finance', 'investment', 'celebration', 'festive'], 'Art_Style': '3D illustration, digital art', 'Purpose_of_image': 'background, promotional, conceptual'}}"
herobanner,5,herobanner,sme,offerProduct,PLSE,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplay_PreApproved_LoanAgainstProperty_PLSE_App.png,7,Get secured loan of up to,₹1.7Cr against your property,Low interest rate,Flexible tenures,1620,Loan Against Property,"{
  ""TagNameDominant colors"": ""Blue, White, Teal, Red, Yellow, Brown (coins)"",
  ""Brightness"": ""Bright"",
  ""Warm vs cool tones"": ""Cool (dominant blues/teals), with warm accents (red roof, yellow shirt, brown coins)"",
  ""Contrast level"": ""Medium to High"",
  ""Text-to-image ratio"": ""Low"",
  ""Left vs right alignment"": ""Right-aligned main elements (hand, house, coins), Left-aligned secondary element (cricketer)"",
  ""Symmetry"": ""Asymmetrical"",
  ""Whitespace usage"": ""High (significant white space on the left side)"",
  ""Image focus type"": ""Composite/Conceptual (multiple focal points representing concepts)"",
  ""Visual format"": ""Illustration with photographic elements"",
  ""Illustration vs photo"": ""Mostly Illustration (cricketer, background) with a photographic element (hand, house model, jar of coins)"",
  ""Number of products shown"": ""2 (Miniature house model, Jar of coins - representing money/savings)"",
  ""Number of people shown"": ""1 (illustrated cricketer)"",
  ""Design density"": ""Medium"",
  ""Embedded text present"": ""Yes"",
  ""Text language"": ""English"",
  ""Font style"": ""Sans-serif, simple"",
  ""Festival/special occasion logo"": ""No"",
  ""Festival name"": ""N/A"",
  ""Logo size"": ""N/A"",
  ""Logo placement"": ""N/A"",
  ""Call-to-action button present"": ""No"",
  ""CTA placement"": ""N/A"",
  ""CTA contrast"": ""N/A"",
  ""Objects visible"": [
    ""Hand (holding objects)"",
    ""Miniature house model (white with red roof)"",
    ""Glass jar/pot filled with coins"",
    ""Cricketer (animated character with bat and ball)"",
    ""Cricket ball"",
    ""Light blue/white striped background"",
    ""Teal/blue watercolor splash background""
  ],
  ""Brand logo visible"": ""No"",
  ""Brand logo size"": ""N/A"",
  ""Emotion (if faces shown)"": ""N/A (cricketer's face not detailed enough for emotion)"",
  ""Gender shown (if people shown)"": ""Male (cricketer)"",
  ""Employment type (if shown)"": ""N/A (cricketer is an athlete/sportsman, not an employment type)"",
  ""Environment type"": ""Abstract/Conceptual"",
  ""Location hints"": ""N/A (no specific location implied)"",
  ""Offer text present"": ""No"",
  ""Offer type"": ""N/A"",
  ""Offer text size"": ""N/A"",
  ""Offer text position"": ""N/A"",
  ""Person gender"": ""Male"",
  ""Person ethnicity/origin"": ""Ambiguous (typical cricket attire, common in many countries, but often associated with South Asian countries)"",
  ""Person activity/role"": ""Playing cricket (batsman)""
}"
herobanner,6,herobanner,HP_AppCard_Loan_Segment1_RGL,,HP_AppCard_Loan_Segment1_RGL,https://ip-dynbanners.bajajfinserv.in/SuperApp/newhome/Banner/375x214/PreApprovedBanners/GoldLoan/Mobile/PA_Homepage_App.png,8,Unlock exclusive gold loan offers now!,Get the best gold loan offer for you!,Low interest rate,Quick disbursal,207,Gold Loan,"{'Dominant colors': {'Property': 'Palette', 'Value': 'Yellow, Orange, Pink, Purple, Green, Blue (from banners)'}, 'Brightness': {'Property': 'Level', 'Value': 'Bright'}, 'Warm vs cool tones': {'Property': 'Tone', 'Value': 'Predominantly Warm (yellow, orange, pink gradient) with Cool accents (blue, green, purple in banners)'}, 'Contrast level': {'Property': 'Level', 'Value': 'Moderate'}, 'Text-to-image ratio': {'Property': 'Ratio', 'Value': 'Very Low'}, 'Left vs right alignment': {'Property': 'Primary subject alignment', 'Value': 'Right (main person and mandala), Left (dancing figures)'}, 'Symmetry': {'Property': 'Presence', 'Value': 'Asymmetrical'}, 'Whitespace usage': {'Property': 'Distribution', 'Value': 'Ample on the left side, denser on the right where the subject and patterns are.'}, 'Image focus type': {'Property': 'Type', 'Value': 'Main subject focus (the woman)'}, 'Visual format': {'Property': 'Format', 'Value': 'Horizontal'}, 'Illustration vs photo': {'Property': 'Type', 'Value': 'Mixed (Photographic subject on an illustrated/graphic background)'}, 'Number of products shown': {'Property': 'Count', 'Value': '1 (a plate of what appears to be noodles or fried snacks)'}, 'Number of people shown': {'Property': 'Count', 'Value': '1 (photographed woman), 2 (illustrated dancing figures in background)'}, 'Design density': {'Property': 'Level', 'Value': 'Moderate'}, 'Embedded text present': {'Property': 'Presence', 'Value': 'Yes'}, 'Text language': {'Property': 'Language', 'Value': 'English'}, 'Font style': {'Property': 'Style', 'Value': 'Sans-serif'}, 'Festival/special occasion logo': {'Property': 'Presence', 'Value': 'Yes (Stylized dancing figures and decorative banners, representing a festival)'}, 'Festival name': {'Property': 'Name', 'Value': 'Navratri (implied by Garba/Dandiya style dancers and festive elements)'}, 'Logo size': {'Property': 'Size', 'Value': 'Small (festival elements), No brand logo visible'}, 'Logo placement': {'Property': 'Placement', 'Value': 'Top Left (banners), Bottom Left (dancing figures)'}, 'Call-to-action button present': {'Property': 'Presence', 'Value': 'No'}, 'CTA placement': {'Property': 'Placement', 'Value': 'N/A'}, 'CTA contrast': {'Property': 'Contrast', 'Value': 'N/A'}, 'Objects visible': {'Property': 'List', 'Value': 'Colorful triangular banners, Mandala patterns, Plate of food (noodles/snacks)'}, 'Brand logo visible': {'Property': 'Presence', 'Value': 'No'}, 'Brand logo size': {'Property': 'Size', 'Value': 'N/A'}, 'Emotion (if faces shown)': {'Property': 'Expression', 'Value': 'Neutral/Pleasant (slight smile)'}, 'Gender shown (if people shown)': {'Property': 'Gender', 'Value': 'Female (prominent subject), Male & Female (illustrated figures)'}, 'Employment type (if shown)': {'Property': 'Type', 'Value': 'N/A (Likely a model for advertising purposes)'}, 'Environment type': {'Property': 'Type', 'Value': 'Studio/Digital background'}, 'Location hints': {'Property': 'Region', 'Value': 'India (implied by cultural attire, dance forms, and background patterns like mandala)'}, 'Offer text present': {'Property': 'Presence', 'Value': 'No'}, 'Offer type': {'Property': 'Type', 'Value': 'N/A'}, 'Offer text size': {'Property': 'Size', 'Value': 'N/A'}, 'Offer text position': {'Property': 'Position', 'Value': 'N/A'}, 'Ethnicity': {'Property': 'Group', 'Value': 'South Asian/Indian (for the prominent person)'}, 'Pose/Gesture of person': {'Property': 'Description', 'Value': ""Right hand making 'OK' gesture, Left hand holding a plate of food""}, 'Background elements': {'Property': 'Description', 'Value': 'Gradient background with white linear mandala patterns on the right side'}, 'Context/Purpose': {'Property': 'Purpose', 'Value': 'Promotional or advertising material, likely related to food or a festive event/sale'}, 'Disclaimer text present': {'Property': 'Presence', 'Value': 'Yes'}, 'Disclaimer text': {'Property': 'Content', 'Value': '*T&C Apply*'}, 'Disclaimer text position': {'Property': 'Position', 'Value': 'Bottom Right'}, 'Disclaimer text color': {'Property': 'Color', 'Value': 'White'}}"
herobanner,7,herobanner,sme,displayName,New Car Loan,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplay_PreApproved_NewCarLoan_App.png,11,Drive your dream car today,Get Loan of up to ₹12L,Quick Disbursal,Affordable EMIs,81735,Vehicle Loan,"{'TagNameDominantColors': ['Light Blue', 'White', 'Brown', 'Green', 'Red', 'Gold'], 'Brightness': 'High', 'WarmVsCoolTones': 'Cool with Warm Accents', 'ContrastLevel': 'Medium', 'TextToImageRatio': 'Very Low', 'LeftVsRightAlignment': 'Right Aligned (Car), Bottom and Top-Left Aligned (Decorations)', 'Symmetry': 'Asymmetrical', 'WhitespaceUsage': 'High', 'ImageFocusType': 'Object (Car) and Decorative Elements', 'VisualFormat': 'Horizontal', 'IllustrationVsPhoto': 'Illustration', 'NumberOfProductsShown': 1, 'NumberOfPeopleShown': 0, 'DesignDensity': 'Low to Medium', 'EmbeddedTextPresent': 'Yes', 'TextLanguage': 'English', 'FontStyle': 'Sans-serif', 'FestivalSpecialOccasion': 'Yes', 'FestivalName': 'Christmas', 'LogoSize': 'N/A', 'LogoPlacement': 'N/A', 'CallToActionBtnPresent': 'No', 'CTAPlacement': 'N/A', 'CTAContrast': 'N/A', 'ObjectsVisible': ['Car', 'Snow', 'Christmas Garland (Pine Branches)', 'Red Ornaments/Berries', 'Pinecones', 'Candy Canes', 'Gold Stars'], 'BrandLogoVisible': 'No', 'BrandLogoSize': 'N/A', 'Emotion': 'N/A (No Faces Shown)', 'GenderShown': 'N/A (No People Shown)', 'EmploymentType': 'N/A (No People Shown)', 'EnvironmentType': 'Outdoor', 'LocationHints': 'Winter/Snowy Landscape', 'OfferTextPresent': ""No (Only a disclaimer 'T&C Apply')"", 'OfferType': 'N/A', 'OfferTextSize': 'N/A', 'OfferTextPosition': 'N/A'}"
herobanner,8,herobanner,HP_AppCard_Loan_Segment_All_LAMF,,HP_AppCard_Loan_Segment_All_LAMF,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/New_HP_AppCard_Loan_Segment_All_LAMF_App.png,12,Get loan of up to,₹5Cr against your mutual funds,5000+ approved funds,Flexible tenures,71276,Loan Against Securities,"{'TagNameDominant colors': ['Light Pink/Peach', 'Gold', 'Brass'], 'Brightness': 'Bright', 'Warm vs cool tones': 'Warm', 'Contrast level': 'Moderate', 'Text-to-image ratio': 'Very Low', 'Left vs right alignment': 'Right Aligned (Objects)', 'Symmetry': 'Asymmetrical', 'Whitespace usage': 'High', 'Image focus type': 'Sharp Focus (on coins)', 'Visual format': 'Photograph', 'Illustration vs photo': 'Photo', 'Number of products shown': 1, 'Number of people shown': 0, 'Design density': 'Low', 'Embedded text present': 'Yes', 'Text language': 'English', 'Font style': 'Sans-serif', 'Festival/special occasion logo': 'No', 'Festival name': 'N/A', 'Logo size': 'N/A', 'Logo placement': 'N/A', 'Call-to-action button present': 'No', 'CTA placement': 'N/A', 'CTA contrast': 'N/A', 'Objects visible': ['Coins', 'Stacks of Coins', 'Money'], 'Brand logo visible': 'No', 'Brand logo size': 'N/A', 'Emotion (if faces shown)': 'N/A', 'Gender shown (if people shown)': 'N/A', 'Employment type (if shown)': 'N/A', 'Environment type': 'Studio/Plain Background', 'Location hints': 'None', 'Offer text present': 'No', 'Offer type': 'N/A', 'Offer text size': 'Small', 'Offer text position': 'Bottom Right', 'Subject Matter': 'Finance, Savings, Investment, Wealth', 'Image type': 'Stock Photo', 'Composition': 'Rule of Thirds (objects on right)', 'Lighting': 'Soft, Even', 'Texture': 'Metallic', 'Color Palette': 'Limited (Warm Tones)', 'Symbolism': 'Growth, Accumulation, Prosperity', 'Purpose': 'Generic financial imagery', 'Is an advertisement': 'Potentially (due to T&C, but not explicit offer)'}"
herobanner,9,herobanner,aruCustomerOffer,partnerName,2385_UNI,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/PreApproved_B2B_LogoOffer_2385_UNI.jpg,13,Assured 5000 Bajaj coins worth ₹1000,with your EMI network card,Easy EMIs,Zero Downpayment,557,Rewards Program,"{'Dominant colors': 'Light peach/orange, gold, white, green, silver/grey, black', 'Brightness': 'Bright', 'Warm vs cool tones': 'Predominantly warm (peach, gold)', 'Contrast level': 'Medium to High', 'Text-to-image ratio': 'Low', 'Left vs right alignment': 'Asymmetrical, with main elements concentrated on the right and bottom', 'Symmetry': 'Asymmetrical', 'Whitespace usage': 'Moderate, mainly in the upper left section', 'Image focus type': 'Product showcase and brand promotion', 'Visual format': 'Promotional banner/advertisement', 'Illustration vs photo': 'Mix of illustration (stars, lights, balloons) and rendered product images', 'Number of products shown': 6, 'Number of people shown': 0, 'Design density': 'Medium', 'Embedded text present': 'Yes', 'Text language': 'English', 'Font style': 'Sans-serif (for logos), Stylized numerical (for 2025)', 'Festival/special occasion logo': ""Yes (implied by '2025' and festive decorations)"", 'Festival name': ""New Year's (implied)"", 'Logo size': 'Prominent', 'Logo placement': 'Top right, on a billboard structure', 'Call-to-action button present': 'No', 'CTA placement': 'N/A', 'CTA contrast': 'N/A', 'Objects visible': ['Billboard', 'Unicorn logo', 'Apple logo', 'Stars', 'String lights', 'Ribbons', ""Balloons (numbers '2025', round balloons)"", 'Television (TV)', 'Washing machine', 'Smartphone', 'Microwave', 'Water purifier', 'Air conditioner (AC)'], 'Brand logo visible': 'Yes', 'Brand logo size': 'Large', 'Emotion (if faces shown)': 'N/A', 'Gender shown (if people shown)': 'N/A', 'Employment type (if shown)': 'N/A', 'Environment type': 'Abstract/Studio (for marketing material)', 'Location hints': 'None specific', 'Offer text present': ""No explicit offer text, but '2025' implies a New Year promotion"", 'Offer type': ""Implied New Year's promotion/sale"", 'Offer text size': ""Medium-Large (for '2025')"", 'Offer text position': 'Bottom center-left', 'Image purpose': 'Advertising, Marketing, Promotion', 'Product categories': 'Electronics, Home Appliances'}"
herobanner,10,herobanner,credit_card_oms,displayName,DBS,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplay_PreApproved_CreditCard_DBS_App.png,14,Bajaj Finserv DBS Bank SuperCard offers,"Up to ₹40,000 off on LG",Upto ₹200000 limit,Up to 10x points,36,Credit Card,{Not Found}
